Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0,0,1,0,0,0.4,0,0.68571,0,1,0
1,0,0.71429,0,0.057143,0.22857,0.51429,1,0.77143,0.88571,0
1,0,0,0.48571,0,0,0,0,0.6,0.028571,0
0,0,1,0,0.34286,0.77143,0,0,0,0,0.17143
0,0,1,0,0,0,0.22857,0,0,0,0.17143
0.77143,0,1,0.42857,0,0,0.73529,0,0,0.82353,0
0.34286,0,0,0,0,0,0.70588,0,0,0,0.29412
0,0,0,0.17647,0.70588,0,0.17647,0.76471,0,0,0.17647
0,0.11765,0,0.29412,0,0,0,0.85294,0,0,0
0,0,0,0.11765,0,0,0,0.058824,0,0.088235,0
1,0,0,0.41176,0,0,0,0,0,0,0
0,0,0,0.52941,0,0,0,0.14706,0,0.58824,0
0.058824,0,0,1,0,0.18182,0,0.090909,0,0,0
0,0,0,0.30303,0,0,0,0,0.42424,0,0.27273
0,0,0.090909,0,1,0.15152,1,0,0.30303,0,1
0,0,0.18182,0,0.24242,1,0,0.42424,1,0.060606,0
0,0,0,0,0,0,0,0,0,0,0.75758
,0,0.48485,0,0.15152,0,0,0,0,0,0.75758
0.48485,0,0,1,0,0,0,0,0,0,0.375
0,0.125,0,0,0,0,0.375,0.3125,0,0,0
0.0625,0.625,0,0,0,0,0,0,0,0.28125,0
0.0625,0,0.625,0.25,0,0,0,0,0.0625,0,0
0,0,0,0,0.1875,0,0.75,0,0,0,0
0,0,0,0,0,0,0.53125,0,0.78125,0,0
1,0,0.125,0,0,0,0.5,0,1,0,0
0,0,0,0.0625,0,0,0.80645,0.32258,0,0.87097,0.12903
0,0,0,0,0,0,0,0.22581,0.41935,0.83871,1
0.32258,0.096774,0,0.096774,0,0,0,0,0,0.16129,1
0.12903,0.74194,0,0,0.19355,0.096774,0.16129,0,0.3871,0,1
0,0,0,0.74194,0.19355,0.096774,0,0,0,0,0.83871
0,0,0,0,0,0,0,0.74194,0,0,0.064516
0,0,0,0,0,0,0.032258,0,0,0,0
0,0,0,0,0,0,0,0,0.064516,0,0.066667
0,0,0,0.48387,0,0,0.23333,0,0.66667,0,0.13333
0,0,0,0.2,0,0,0.1,0,0.4,0.63333,0.6
0,0.13333,0,0,0,0,1,0,1,0.63333,0
0,0,0,0,0,0,0,0,0.8,0.26667,0
